Reference,DOI,Group,Phylum,Order,Family,Species,Light,Water,Series,Day,Mean,SEM,N,Response,Method,Unit,Source
Srivastava & Ware 1965,10.1104/pp.40.1.62,Terrestrial,Streptophyta,Poales,Poaceae,Hordeum vulgare,No,Yes,1,4,1.268965517,NA,1,Chlorophyll,Chlorophyll,mg g–1 fresh mass,Figure 1
Srivastava & Ware 1965,10.1104/pp.40.1.62,Terrestrial,Streptophyta,Poales,Poaceae,Hordeum vulgare,No,Yes,1,5,0.696551724,NA,1,Chlorophyll,Chlorophyll,mg g–1 fresh mass,Figure 1
Srivastava & Ware 1965,10.1104/pp.40.1.62,Terrestrial,Streptophyta,Poales,Poaceae,Hordeum vulgare,No,Yes,1,6,0.406896552,NA,1,Chlorophyll,Chlorophyll,mg g–1 fresh mass,Figure 1
Srivastava & Ware 1965,10.1104/pp.40.1.62,Terrestrial,Streptophyta,Poales,Poaceae,Hordeum vulgare,No,Yes,1,7,0.296551724,NA,1,Chlorophyll,Chlorophyll,mg g–1 fresh mass,Figure 1
Srivastava & Ware 1965,10.1104/pp.40.1.62,Terrestrial,Streptophyta,Poales,Poaceae,Hordeum vulgare,No,Yes,1,8,0.303448276,NA,1,Chlorophyll,Chlorophyll,mg g–1 fresh mass,Figure 1
Turner & Bidwell 1965,10.1104/pp.40.3.446,Terrestrial,Streptophyta,Fabales,Fabaceae,Phaseolus vulgaris,Yes,Yes,1,0,50.36378263,NA,1,Photosynthesis,Gas exchange,µg CO2 min–1 leaf–1,Figure 2
Turner & Bidwell 1965,10.1104/pp.40.3.446,Terrestrial,Streptophyta,Fabales,Fabaceae,Phaseolus vulgaris,Yes,Yes,1,0.083333333,60.50296999,NA,1,Photosynthesis,Gas exchange,µg CO2 min–1 leaf–1,Figure 2
Turner & Bidwell 1965,10.1104/pp.40.3.446,Terrestrial,Streptophyta,Fabales,Fabaceae,Phaseolus vulgaris,Yes,Yes,1,0.833333333,44.61643579,NA,1,Photosynthesis,Gas exchange,µg CO2 min–1 leaf–1,Figure 2
Turner & Bidwell 1965,10.1104/pp.40.3.446,Terrestrial,Streptophyta,Fabales,Fabaceae,Phaseolus vulgaris,Yes,Yes,1,0.875,38.00729549,NA,1,Photosynthesis,Gas exchange,µg CO2 min–1 leaf–1,Figure 2
Turner & Bidwell 1965,10.1104/pp.40.3.446,Terrestrial,Streptophyta,Fabales,Fabaceae,Phaseolus vulgaris,Yes,Yes,1,1,27.93334876,NA,1,Photosynthesis,Gas exchange,µg CO2 min–1 leaf–1,Figure 2
Turner & Bidwell 1965,10.1104/pp.40.3.446,Terrestrial,Streptophyta,Fabales,Fabaceae,Phaseolus vulgaris,Yes,Yes,1,1.083333333,45.27280942,NA,1,Photosynthesis,Gas exchange,µg CO2 min–1 leaf–1,Figure 2
Turner & Bidwell 1965,10.1104/pp.40.3.446,Terrestrial,Streptophyta,Fabales,Fabaceae,Phaseolus vulgaris,Yes,Yes,1,1.833333333,43.91774391,NA,1,Photosynthesis,Gas exchange,µg CO2 min–1 leaf–1,Figure 2
Turner & Bidwell 1965,10.1104/pp.40.3.446,Terrestrial,Streptophyta,Fabales,Fabaceae,Phaseolus vulgaris,Yes,Yes,1,1.916666667,34.6341786,NA,1,Photosynthesis,Gas exchange,µg CO2 min–1 leaf–1,Figure 2
Turner & Bidwell 1965,10.1104/pp.40.3.446,Terrestrial,Streptophyta,Fabales,Fabaceae,Phaseolus vulgaris,Yes,Yes,1,2,37.92750796,NA,1,Photosynthesis,Gas exchange,µg CO2 min–1 leaf–1,Figure 2
Turner & Bidwell 1965,10.1104/pp.40.3.446,Terrestrial,Streptophyta,Fabales,Fabaceae,Phaseolus vulgaris,Yes,Yes,1,2.083333333,22.28143838,NA,1,Photosynthesis,Gas exchange,µg CO2 min–1 leaf–1,Figure 2
Lewington et al. 1967,10.1093/jxb/18.3.526,Terrestrial,Streptophyta,Cucurbitales,Cucurbitaceae,Cucumis sativus,Yes,Yes,1,0,0.450452002,NA,1,Chlorophyll,Chlorophyll,mg cotyledon–1,Figure 2
Lewington et al. 1967,10.1093/jxb/18.3.526,Terrestrial,Streptophyta,Cucurbitales,Cucurbitaceae,Cucumis sativus,Yes,Yes,1,3,0.276675439,NA,1,Chlorophyll,Chlorophyll,mg cotyledon–1,Figure 2
Lewington et al. 1967,10.1093/jxb/18.3.526,Terrestrial,Streptophyta,Cucurbitales,Cucurbitaceae,Cucumis sativus,Yes,Yes,1,5,0.238459208,NA,1,Chlorophyll,Chlorophyll,mg cotyledon–1,Figure 2
Lewington et al. 1967,10.1093/jxb/18.3.526,Terrestrial,Streptophyta,Cucurbitales,Cucurbitaceae,Cucumis sativus,Yes,Yes,1,9,0.21704703,NA,1,Chlorophyll,Chlorophyll,mg cotyledon–1,Figure 2
Lewington et al. 1967,10.1093/jxb/18.3.526,Terrestrial,Streptophyta,Cucurbitales,Cucurbitaceae,Cucumis sativus,Yes,Yes,1,13,0.166780766,NA,1,Chlorophyll,Chlorophyll,mg cotyledon–1,Figure 2
Lewington & Simon 1969,10.1093/jxb/20.1.138,Terrestrial,Streptophyta,Cucurbitales,Cucurbitaceae,Cucumis sativus,Yes,Yes,1,0,0.374464053,NA,1,Chlorophyll,Chlorophyll,mg cotyledon–1,Figure 1
Lewington & Simon 1969,10.1093/jxb/20.1.138,Terrestrial,Streptophyta,Cucurbitales,Cucurbitaceae,Cucumis sativus,Yes,Yes,1,2,0.194716169,NA,1,Chlorophyll,Chlorophyll,mg cotyledon–1,Figure 1
Lewington & Simon 1969,10.1093/jxb/20.1.138,Terrestrial,Streptophyta,Cucurbitales,Cucurbitaceae,Cucumis sativus,Yes,Yes,1,4,0.128230212,NA,1,Chlorophyll,Chlorophyll,mg cotyledon–1,Figure 1
Lewington & Simon 1969,10.1093/jxb/20.1.138,Terrestrial,Streptophyta,Cucurbitales,Cucurbitaceae,Cucumis sativus,Yes,Yes,1,6,0.102600485,NA,1,Chlorophyll,Chlorophyll,mg cotyledon–1,Figure 1
Lewington & Simon 1969,10.1093/jxb/20.1.138,Terrestrial,Streptophyta,Cucurbitales,Cucurbitaceae,Cucumis sativus,No,Yes,2,0,0.374464053,NA,1,Chlorophyll,Chlorophyll,mg cotyledon–1,Figure 1
Lewington & Simon 1969,10.1093/jxb/20.1.138,Terrestrial,Streptophyta,Cucurbitales,Cucurbitaceae,Cucumis sativus,No,Yes,2,2,0.215505275,NA,1,Chlorophyll,Chlorophyll,mg cotyledon–1,Figure 1
Lewington & Simon 1969,10.1093/jxb/20.1.138,Terrestrial,Streptophyta,Cucurbitales,Cucurbitaceae,Cucumis sativus,No,Yes,2,4,0.103141329,NA,1,Chlorophyll,Chlorophyll,mg cotyledon–1,Figure 1
