Reference,Ecosystem,Community,Biome,Plant,Net primary production (g C m^-2 y^-1),Leaf production (g C m^-2 y^-1),Plant biomass (g C m^-2),Detrital production (g C m^-2 y^-1),Detrital leaf production (g C m^-2 y^-1),Detrital biomass (g C m^-2),Herbivory (g C m^-2 y^-1),Herbivore biomass (g C m^-2),Decomposition (g C m^-2 y^-1),Total consumption (g C m^-2 y^-1),Accumulation (g C m^-2 y^-1),Export (g C m^-2 y^-1),k (d^-1),Detrital nitrogen (%),Detrital phosphorus (%),Plant nitrogen (%),Plant phosphorus (%)
Jewson et al. 1981,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,186.515,NA,7,102.2,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnson and Rissor 1974,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,596.045,NA,8793.753366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,0.046
Johnson et al. 1981,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,3671.2503,NA,NA,NA,NA,NA,NA,NA,886.019688,NA,NA,NA,NA,NA,NA,NA,NA
Johnson et al. 1981,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,2723.3745,NA,NA,NA,NA,NA,NA,NA,745.98408,NA,NA,NA,NA,NA,NA,NA,NA
Johnson et al. 1981,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,2315.4578,NA,NA,NA,NA,NA,NA,NA,602.02224,NA,NA,NA,NA,NA,NA,5.59,0.76
Johnson et al. 1981,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,1686.371905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnstone 1981,terrestrial,mangroves,Mangrove forest,Marine angiosperms,1533,NA,NA,1499.42,NA,NA,33.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joiris et al. 1982,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,516.3801,NA,4.6,436.0801,NA,NA,80.3,NA,221.953288,302.253288,5.11,NA,NA,NA,NA,NA,NA
de Jonge and Colijn 1994,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,298.1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57,NA,NA,NA,NA,NA
de Jonge and Colijn 1994; Colijn and de Jonge1984,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,231.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.000105,NA,NA,NA,NA,NA
de Jonge and Colijn 1994; Colijn and de Jonge1984,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,100.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00017,NA,NA,NA,NA,NA
de Jonge and Colijn 1994; Colijn and de Jonge1984,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,75.4017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.000075,NA,NA,NA,NA,NA
de Jonge and Colijn 1994; Colijn and de Jonge1984,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,70.79905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00017,NA,NA,NA,NA,NA
de Jonge and Colijn 1994; Colijn and de Jonge1984,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,57.19915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.000005,NA,NA,NA,NA,NA
de Jonge and Colijn 1994; Colijn and de Jonge1984,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,56.9984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.99997,NA,NA,NA,NA,NA
Josselyn and Mathieson 1980,aquatic,marine macroalgal beds,Macroalgal forest,Algae,954,NA,NA,954,NA,NA,NA,NA,953.98882,NA,0.011534,NA,0.031,1.96,0.151,NA,NA
Josselyn et al. 1983,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,393.2875,NA,30.8,NA,NA,NA,NA,NA,NA,NA,NA,15.33,NA,NA,NA,NA,NA
Josselyn et al. 1983,aquatic,marine macroalgal beds,Macroalgal forest,Algae,302.9135,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,16.06,NA,NA,NA,NA,NA
Josselyn et al. 1983,aquatic,marine macroalgal beds,Macroalgal forest,Algae,302.9135,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,4.015,NA,NA,NA,NA,NA
Josselyn et al. 1983,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,47.1945,NA,2.32,NA,NA,NA,NA,NA,NA,NA,NA,11.68,NA,NA,NA,NA,NA
Josselyn et al. 1986,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,69.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04015,NA,NA,NA,NA
Jupp and Spence 1977,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,111.325,NA,35,95.995,NA,NA,15.49425,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385
Kamiyama 1994,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,1971.2044,NA,NA,1675.5544,NA,NA,295.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karagatzides and Hutchinson 1991,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,161.33,NA,138,160.6,NA,123.24,NA,NA,117.585115,NA,NA,NA,0.003586,NA,NA,NA,NA
Karagatzides and Hutchinson 1991,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,103.295,NA,111.8,102.2,NA,83.5,NA,NA,73.20002,NA,NA,NA,0.003389,NA,NA,NA,NA
Kemp and Boynton 1980,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,690.8647,NA,NA,NA,NA,NA,NA,NA,284.742705,NA,NA,NA,NA,NA,NA,NA,NA
Kemp and Boynton 1980,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,530.5275,NA,NA,NA,NA,NA,NA,NA,189.82847,NA,NA,NA,NA,NA,NA,NA,NA
Kenney et al. 1988,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,162.6951,NA,NA,NA,NA,NA,NA,NA,100.755111,NA,NA,NA,NA,NA,NA,NA,NA
Kenworthy and Thayer 1984,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1839.01235,NA,1124.4,1599.61,NA,NA,NA,NA,1142.7,NA,65.7,NA,NA,1.92,NA,NA,NA
Kenworthy and Thayer 1984,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,423.17735,NA,194,379.33735,NA,NA,NA,NA,299.15,NA,10.585,NA,NA,2.07,NA,NA,NA
Kenworthy and Thayer 1984,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00E-04,1.12,NA,NA,NA
Kenworthy and Thayer 1984,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0183,1,NA,NA,NA
Kenworthy and Thayer 1984,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0048,0.73,NA,NA,NA
Kenworthy and Thayer 1984,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035,0.53,NA,NA,NA
Kenworthy and Thayer 1984,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,531.7247,NA,177.6,NA,NA,NA,NA,NA,NA,NA,25.185,NA,NA,NA,NA,NA,NA
Kenworthy and Thayer 1984,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,514.42005,NA,166.8,NA,NA,NA,NA,NA,NA,NA,22.995,NA,NA,NA,NA,NA,NA
Kenworthy and Thayer 1984,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,490.8228,NA,460,NA,NA,NA,NA,NA,NA,NA,23.725,NA,NA,NA,NA,NA,NA
Khailov and Burlakova 1969,aquatic,marine macroalgal beds,Macroalgal forest,Algae,543.047,NA,170.8,440.847,NA,NA,102.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khailov and Burlakova 1969,aquatic,marine macroalgal beds,Macroalgal forest,Algae,25.112,NA,6,16.717,NA,NA,8.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khailov and Burlakova 1969,aquatic,marine macroalgal beds,Macroalgal forest,Algae,20.4035,NA,5.8,14.1985,NA,NA,6.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khailov and Burlakova 1969,aquatic,marine macroalgal beds,Macroalgal forest,Algae,13.96855,NA,2.4,9.58855,NA,NA,4.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khailov and Burlakova 1969,aquatic,marine macroalgal beds,Macroalgal forest,Algae,7.69055,NA,1.12,5.57355,NA,NA,2.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25
Khailov and Burlakova 1969,aquatic,marine macroalgal beds,Macroalgal forest,Algae,7.06275,NA,0.88,5.38375,NA,NA,1.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khailov and Burlakova 1969,aquatic,marine macroalgal beds,Macroalgal forest,Algae,2.8251,NA,0.32,2.2776,NA,NA,0.5475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khailov and Burlakova 1969,aquatic,marine macroalgal beds,Macroalgal forest,Algae,2.35425,NA,0.52,1.58775,NA,NA,0.7665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khailov and Burlakova 1969,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1.41255,NA,0.2,0.90155,NA,NA,0.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khailov and Burlakova 1969,aquatic,marine macroalgal beds,Macroalgal forest,Algae,0.070628,NA,0.008,0.052378,NA,NA,0.01825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kiene and Hutchings 1994,aquatic,marine macroalgal beds,Macroalgal forest,Algae,495.3853,NA,NA,489.5453,NA,NA,5.84,NA,NA,NA,NA,47.45,NA,NA,NA,NA,NA
Kiene and Hutchings 1994,aquatic,marine macroalgal beds,Macroalgal forest,Algae,495.3853,NA,NA,316.5353,NA,NA,178.85,NA,NA,NA,NA,43.8,NA,NA,NA,NA,NA
Kiene and Hutchings 1994,aquatic,marine macroalgal beds,Macroalgal forest,Algae,495.3853,NA,NA,404.1353,NA,NA,91.25,NA,NA,NA,NA,47.45,NA,NA,NA,NA,NA
Kiene and Hutchings 1994,aquatic,marine macroalgal beds,Macroalgal forest,Algae,495.3853,NA,NA,483.3403,NA,NA,12.045,NA,NA,NA,NA,23.725,NA,NA,NA,NA,NA
Kiene and Hutchings 1994,aquatic,marine macroalgal beds,Macroalgal forest,Algae,495.3853,NA,NA,334.7853,NA,NA,160.6,NA,NA,NA,NA,5.84,NA,NA,NA,NA,NA
Kilar and Norris 1988,aquatic,marine macroalgal beds,Macroalgal forest,Algae,2216.134,NA,187.232,NA,NA,NA,NA,NA,NA,NA,NA,43.8,NA,NA,NA,NA,NA
Kilar and Norris 1988,aquatic,marine macroalgal beds,Macroalgal forest,Algae,629.3695,NA,53.224,NA,NA,NA,NA,NA,NA,NA,NA,2.92,NA,NA,NA,NA,NA
Kilar and Norris 1988,aquatic,marine macroalgal beds,Macroalgal forest,Algae,442.599,NA,37.344,NA,NA,NA,NA,NA,NA,NA,NA,65.7,NA,NA,NA,NA,NA
Kilar and Norris 1988,aquatic,marine macroalgal beds,Macroalgal forest,Algae,251.12,NA,1.39,NA,NA,NA,NA,NA,NA,NA,NA,226.3,NA,NA,NA,NA,NA
Kilar and Norris 1988,aquatic,marine macroalgal beds,Macroalgal forest,Algae,205.6045,NA,17.4,NA,NA,NA,NA,NA,NA,NA,NA,10.22,NA,NA,NA,NA,NA
Kilar and Norris 1988,aquatic,marine macroalgal beds,Macroalgal forest,Algae,108.2955,NA,0.266,NA,NA,NA,NA,NA,NA,NA,NA,98.55,NA,NA,NA,NA,NA
Kilar and Norris 1988,aquatic,marine macroalgal beds,Macroalgal forest,Algae,95.7395,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,83.95,NA,NA,NA,NA,NA
Kilar and Norris 1988,aquatic,marine macroalgal beds,Macroalgal forest,Algae,58.0715,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,51.1,NA,NA,NA,NA,NA
Kilar and Norris 1988,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,280.0207,NA,81.88,NA,NA,NA,NA,NA,NA,NA,NA,135.05,NA,NA,NA,NA,NA
King et al. 1978,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,75.4528,NA,NA,NA,NA,NA,NA,NA,8.63771,NA,0.12045,NA,NA,NA,NA,NA,NA
Kira 1978,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,846.8,NA,17400,NA,NA,NA,NA,NA,390.55,NA,171.55,NA,NA,NA,NA,NA,NA
Kirkman and Reid 1979,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,160.4613,NA,50,157.0303,NA,NA,3.431,NA,NA,NA,NA,18.615,NA,NA,NA,NA,NA
Klopatek and Stearns 1978,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,401.5,NA,50,347.48,NA,NA,52.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klumpp and Polunin 1989,aquatic,marine macroalgal beds,Macroalgal forest,Algae,693.719,NA,NA,171.769,NA,NA,521.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klumpp et al. 1989,aquatic,marine macroalgal beds,Macroalgal forest,Algae,183.6315,NA,17.3483,55.8815,NA,NA,127.75,1.7334,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klumpp et al. 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1094.9124,NA,273.7281,1018.2624,NA,NA,76.65,0.5699,NA,NA,NA,109.5,NA,NA,NA,1.2,0.12
Klumpp et al. 1992,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,80.592,NA,1,60.152,NA,NA,20.44,NA,17.6952,38.1352,NA,NA,NA,NA,NA,1.76,NA
Klumpp et al. 1993,aquatic,marine macroalgal beds,Macroalgal forest,Algae,32.9595,NA,NA,27.4845,NA,NA,5.475,NA,NA,NA,NA,NA,NA,NA,NA,1.76,NA
Klumpp et al. 1993,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,582.0655,NA,NA,512.7155,NA,NA,69.35,NA,NA,NA,NA,NA,NA,NA,NA,1.21,NA
Klumpp et al. 1993,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,262.8,NA,65,219,NA,NA,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Knauer et al. 1979,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,73,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66,0.592
Koop et al. 1982,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1175.5555,NA,264,1069.7055,NA,NA,105.85,NA,861.4,967.25,8.76,200.75,NA,NA,NA,2.42,0.31
Kristensen 1993,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,110.1424,NA,1.208,NA,NA,NA,NA,NA,35.3904,NA,3.6135,NA,NA,NA,NA,NA,NA
Kristensen et al. 1992,aquatic,marine macroalgal beds,Macroalgal forest,Algae,535.1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.825,NA,NA,NA,NA,NA,NA
Kruse 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,400.843,NA,NA,NA,NA,NA,NA,NA,156.243433,NA,NA,NA,NA,NA,NA,NA,NA
Kuparinen 1986,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,141.474,NA,NA,NA,NA,NA,NA,NA,42.346351,NA,NA,NA,NA,NA,NA,NA,NA
Lampert 1978,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,379.6,NA,2.4696,36.5,NA,NA,343.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lapointe et al. 1981,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1299.4,NA,211.904762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,NA
Lawes et al. 1988,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,742.7385,NA,11.2,260.099,NA,NA,430.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lazar and Loya 1991,aquatic,marine macroalgal beds,Macroalgal forest,Algae,316.67035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.95,NA,NA,NA,NA,NA
LeBorgne et al. 1989,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,160.6,NA,NA,1.61,NA,NA,158.99,NA,NA,NA,NA,NA,NA,NA,NA,4.87,0.9677
LeBorgne et al. 1997,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,164.615,NA,NA,137.245,NA,NA,27.37,NA,NA,NA,NA,NA,NA,NA,NA,3.23,0.326
Lee 1989,terrestrial,mangroves,Mangrove forest,Marine angiosperms,876,NA,NA,828.55,NA,NA,47.45,NA,611.375,658.825,212.43,4.38,0.0018,NA,NA,NA,NA
Lee 1990,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,879.543055,NA,623.92,870.783055,NA,100.98,8.76,NA,120.45,129.21,80.3,0.12045,0.00555,1.28,NA,1.28,NA
Leigh and Windsor 1983,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,280.32,NA,243.8,243.82,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lenz et al. 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,252.2953,NA,NA,124.5453,NA,NA,127.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lenz et al. 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,238.1479,NA,NA,110.3979,NA,NA,127.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lenz et al. 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,120.2529,NA,NA,61.8529,NA,NA,58.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lenz et al. 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,80.1686,NA,NA,NA,NA,NA,80.1686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Li and Lee 1998,terrestrial,mangroves,Mangrove forest,Marine angiosperms,868.7,NA,NA,840.7045,NA,NA,27.9955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Li and Lee 1998,terrestrial,mangroves,Mangrove forest,Marine angiosperms,700.8,NA,NA,674.593,NA,NA,26.207,NA,259.15,285.357,102.2,394.2,NA,NA,NA,NA,NA
Lignell et al. 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,288.35,NA,3.2,218.708,NA,NA,47.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and De Bree 1982,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,493.9691,NA,NA,NA,NA,NA,NA,NA,133.9842,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,265.9536,NA,NA,NA,NA,NA,NA,NA,91.4252,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,222.9712,NA,NA,NA,NA,NA,NA,NA,69.3062,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,179.9888,NA,NA,NA,NA,NA,NA,NA,69.3062,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,131.6336,NA,NA,NA,NA,NA,NA,NA,67.8316,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,734.66105,NA,NA,NA,NA,NA,NA,NA,388.8564,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,624.54055,NA,62,NA,NA,NA,NA,NA,325.3902,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,574.19975,NA,NA,NA,NA,NA,NA,NA,307.257,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,509.7006,NA,NA,NA,NA,NA,NA,NA,278.0424,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,481.3839,NA,291,NA,NA,NA,NA,NA,276.0276,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,481.3839,NA,812,NA,NA,NA,NA,NA,300.2052,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,465.6524,NA,22.4,NA,NA,NA,NA,NA,245.8056,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,399.5801,NA,NA,NA,NA,NA,NA,NA,149.0952,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,379.12915,NA,314.96,NA,NA,NA,NA,NA,210.5466,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,375.98285,NA,604,NA,NA,NA,NA,NA,215.5836,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,314.63,NA,512,NA,NA,NA,NA,NA,100.74,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,114.83995,NA,1387,NA,NA,NA,NA,NA,67.4958,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom and Sande 1989,aquatic,marine macroalgal beds,Macroalgal forest,Algae,202.4655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lindeboom et al. 1989,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,549.3907,NA,2.1,NA,NA,NA,NA,NA,NA,NA,0.2555,NA,NA,NA,NA,NA,NA
Lock 1972,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,200.92155,NA,NA,143.9998,NA,NA,56.92175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lowman 1988,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,245.28,NA,490.4,223.745,NA,22.36,35.186,NA,223.73459,258.92059,NA,NA,0.027415,NA,NA,NA,NA
Lowman 1988,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,228.49,NA,456.4,162.06,NA,25.2,50.005,NA,161.79376,211.79876,NA,NA,0.017619,NA,NA,NA,NA
Lowman 1988,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,193.815,NA,387.6,141.255,NA,94,52.925,NA,109.67,162.595,NA,NA,0.004117,NA,NA,NA,NA
Lugo et al. 1988,terrestrial,mangroves,Mangrove forest,Marine angiosperms,1694.15115,NA,5630,NA,NA,NA,NA,NA,NA,NA,NA,197.1,NA,NA,NA,NA,NA
Lugo et al. 1988,terrestrial,mangroves,Mangrove forest,Marine angiosperms,1180.13625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1972,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1750,NA,264.1,NA,NA,NA,NA,12.95,NA,NA,NA,NA,NA,NA,NA,1.82,0.27
Mann 1972,aquatic,marine macroalgal beds,Macroalgal forest,Algae,659.19,NA,73.81,602.25,NA,NA,62.05,NA,97.455,159.505,NA,496.4,NA,2.42,NA,2.42,0.31
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,6270.7,NA,NA,NA,NA,NA,NA,NA,6029.8,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,5925.8115,NA,NA,NA,NA,NA,NA,NA,2146.6088,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,4047.73685,NA,NA,NA,NA,NA,NA,NA,2873.1997,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,3821.99165,NA,NA,NA,NA,NA,NA,NA,3385.7327,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,3608.78785,NA,NA,NA,NA,NA,NA,NA,3470.1499,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,2821.815,NA,NA,NA,NA,NA,NA,NA,1808.94,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,2085.00775,NA,NA,NA,NA,NA,NA,NA,1814.9698,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1931.3756,NA,NA,NA,NA,NA,NA,NA,726.5909,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1881.21,NA,NA,NA,NA,NA,NA,NA,1808.94,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1191.433,NA,NA,NA,NA,NA,NA,NA,1085.364,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1123.762,NA,NA,988.712,NA,NA,135.05,NA,NA,NA,NA,28.105,NA,NA,NA,NA,NA
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1072.2897,NA,NA,NA,NA,NA,NA,NA,898.4402,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,272.77545,NA,NA,NA,NA,NA,NA,NA,168.8344,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1669.11215,NA,NA,NA,NA,NA,NA,NA,756.5574,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,580.49235,NA,NA,NA,NA,NA,NA,NA,371.7306,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,421.6042,NA,NA,NA,NA,NA,NA,NA,269.9832,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,2291.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1820.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mann 1985,aquatic,marine macroalgal beds,Macroalgal forest,Algae,382.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
