Reference,Ecosystem,Community,Biome,Plant,Net primary production (g C m^-2 y^-1),Leaf production (g C m^-2 y^-1),Plant biomass (g C m^-2),Detrital production (g C m^-2 y^-1),Detrital leaf production (g C m^-2 y^-1),Detrital biomass (g C m^-2),Herbivory (g C m^-2 y^-1),Herbivore biomass (g C m^-2),Decomposition (g C m^-2 y^-1),Total consumption (g C m^-2 y^-1),Accumulation (g C m^-2 y^-1),Export (g C m^-2 y^-1),k (d^-1),Detrital nitrogen (%),Detrital phosphorus (%),Plant nitrogen (%),Plant phosphorus (%)
Bak 1994,aquatic,marine macroalgal beds,Macroalgal forest,Algae,435.81365,NA,NA,89.06365,NA,NA,346.75,NA,NA,NA,NA,43.8,NA,NA,NA,NA,NA
Baldwin and Lovvorn 1994,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,7.86575,NA,NA,5.16475,NA,NA,2.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barko et al. 1977,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,127.02,NA,408,NA,NA,NA,NA,NA,NA,NA,62.05,NA,NA,NA,NA,NA,NA
Barranguet et al. 1998,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,99.99905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.00135,NA,NA,NA,NA,NA
Bastardo 1979,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0446,1.15,NA,NA,NA
Bastardo 1979,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0517,2.4,0.16,NA,NA
Bastardo 1979,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0458,1.2,0.1,NA,NA
Bastardo 1979,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0475,1.26,0.2,NA,NA
Bastardo 1979,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0859,3.66,0.82,NA,NA
Bayley et al. 1985,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,327.6,NA,NA,250.29,NA,NA,NA,NA,174.43,NA,NA,NA,0.0067,1.9,0.14,NA,NA
